"","lon","lat","Paikkakunta"
"309",29.6235851,62.3138415,"Rääkkylä"
"310",25.5034842,64.9129283,"kempele"
"311",144.96328,-37.814107,"kuopio.finland/ melbourne,australia"
"312",28.8850555,61.8687022,"savonlinna"
"313",26.2938543,62.6277663,"Konnevesi"
"314",22.698071,61.1760632,"Huittinen"
"315",12.5362113,57.9300205,"Alingsås"
"316",12.5331942,58.1181154,"sollebrunn"
"317",24.7544563,60.5284245,"Rajamäki"
"318",28.0739476,61.1521338,"TAIPALSAARI"
"319",23.6416493,61.4668633,"Pirkkala"
"320",22.9097127,61.3415589,"Sastamal"
"321",25.4303833,64.9388024,"Oulunsalo"
"322",22.3353483,61.0542638,"säkylä"
"323",25.6503169,60.9836925,"LAHTI"
"324",25.5978426,60.5304413,"Askola"
"325",25.7288398,60.8017134,"Orimattila"
"326",24.0718436,61.4637146,"Kangasala"
"327",26.3360651,60.8910749,"Iitti"
"328",15.981919,45.8150108,"Zagreb"
"329",21.9469705,60.3734699,"Rymättylä"
"330",21.8215759,61.8766697,"Siikainen"
"331",22.1604796,61.1155907,"Kauttua"
